X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,danger_zone,route_risk,evac_time
7,5,mar,fri,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0,0,0,8.1
7,4,oct,tue,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0,0,0,7.2
7,4,oct,sat,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0,0,0,7.5
8,6,mar,fri,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0,0,0,9.0
8,6,mar,sun,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0,0,0,8.8
8,6,aug,sun,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0,1,1,15.2
8,6,aug,mon,92.3,88.9,495.6,28.5,28.9,27,2.7,0.0,0.0,1,1,18.5
8,6,aug,mon,91.5,145.4,608.2,10.7,25.6,41,1.3,0.0,0.0,1,1,16.3
8,6,sep,tue,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.0,1,1,14.8
7,5,sep,sat,92.5,88.0,698.6,7.1,25.9,34,4.5,0.0,0.0,1,1,17.1
7,4,sep,sat,92.5,88.0,698.6,7.1,25.9,34,4.5,0.0,9.71,2,1,19.4
7,4,sep,sat,92.5,88.0,698.6,7.1,25.9,34,4.5,0.0,1.76,1,1,14.2
7,5,sep,sat,92.5,88.0,698.6,7.1,25.9,34,4.5,0.0,2.06,1,1,15.0
6,5,aug,mon,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,1.46,1,0,11.3
6,5,aug,wed,94.8,108.3,647.1,17.6,24.1,27,5.4,0.0,28.66,2,1,22.7
6,5,aug,fri,90.1,122.5,655.2,16.9,24.5,27,5.4,0.0,2.24,1,1,15.8
8,6,aug,fri,90.1,122.5,655.2,16.9,24.5,27,5.4,0.0,0.0,1,1,14.5
8,6,aug,mon,90.1,122.5,655.2,16.9,24.5,27,5.4,0.0,0.0,1,1,14.3
2,4,aug,mon,97.0,134.8,720.3,27.5,31.5,22,7.6,0.0,7.73,2,1,21.9
7,4,aug,sat,97.0,134.8,720.3,27.5,31.5,22,7.6,0.0,0.0,2,1,20.1
1,2,aug,sat,97.0,134.8,720.3,27.5,31.5,22,7.6,0.0,0.0,2,1,19.8
2,4,aug,sat,97.0,134.8,720.3,27.5,31.5,22,7.6,0.0,0.0,2,1,19.5
2,4,aug,sun,97.0,134.8,720.3,27.5,31.5,22,7.6,0.0,0.0,2,1,19.2
7,5,aug,sun,97.0,134.8,720.3,27.5,31.5,22,7.6,0.0,0.0,2,1,18.9
1,2,sep,sun,97.0,134.8,720.3,27.5,31.5,22,7.6,0.0,0.0,2,1,18.7
5,4,sep,mon,91.8,78.5,724.3,9.3,23.4,38,2.2,0.0,0.0,1,0,12.4
2,4,sep,mon,91.8,78.5,724.3,9.3,23.4,38,2.2,0.0,0.0,1,0,12.1
2,4,sep,fri,93.7,101.3,765.0,12.3,24.5,28,4.9,0.0,0.0,1,1,15.6
5,4,mar,fri,91.7,35.8,80.8,7.8,15.1,60,5.4,0.0,0.0,0,0,9.3
7,4,mar,fri,91.7,35.8,80.8,7.8,15.1,60,5.4,0.0,0.0,0,0,9.1
4,4,mar,sun,89.6,30.3,78.6,7.0,19.4,34,5.4,0.0,0.0,0,0,10.2
4,3,mar,sun,89.6,30.3,78.6,7.0,19.4,34,5.4,0.0,0.0,0,0,10.0
5,4,aug,mon,93.3,100.0,722.5,10.7,25.7,42,2.7,0.0,0.0,1,1,14.1
5,4,aug,sat,96.1,181.1,671.2,14.3,33.3,26,2.7,0.0,0.36,2,1,20.5
2,4,aug,sat,96.1,181.1,671.2,14.3,33.3,26,2.7,0.0,0.0,2,1,19.9
5,4,aug,sat,96.1,181.1,671.2,14.3,33.3,26,2.7,0.0,0.0,2,1,19.6
5,4,aug,sun,96.1,181.1,671.2,14.3,33.3,26,2.7,0.0,0.0,2,1,19.3
4,3,aug,sun,94.4,146.0,614.7,11.3,29.0,30,5.4,0.0,0.0,2,1,18.0
1,2,aug,wed,96.9,184.2,661.1,23.1,30.3,24,5.4,0.0,0.0,2,1,20.8
1,2,aug,fri,96.9,184.2,661.1,23.1,30.3,24,5.4,0.0,0.0,2,1,20.3
5,4,aug,fri,96.9,184.2,661.1,23.1,30.3,24,5.4,0.0,0.0,2,1,20.0
5,4,aug,fri,96.9,184.2,661.1,23.1,30.3,24,5.4,0.0,0.0,2,1,19.7
2,4,aug,fri,96.9,184.2,661.1,23.1,30.3,24,5.4,0.0,0.0,2,1,19.4
2,4,aug,sat,96.9,184.2,661.1,23.1,30.3,24,5.4,0.0,0.0,2,1,19.1
7,4,aug,sat,96.9,184.2,661.1,23.1,30.3,24,5.4,0.0,0.0,2,1,18.8
7,4,aug,mon,96.9,184.2,661.1,23.1,30.3,24,5.4,0.0,0.0,2,1,18.5
4,4,aug,mon,94.3,138.0,640.0,15.9,30.4,25,5.4,0.0,0.0,2,1,19.2
1,2,aug,fri,93.3,112.2,612.5,19.0,29.5,29,5.4,0.0,0.0,2,1,19.0
7,4,aug,fri,93.3,112.2,612.5,19.0,29.5,29,5.4,0.0,5.5,2,1,21.3
7,5,aug,fri,93.3,112.2,612.5,19.0,29.5,29,5.4,0.0,3.64,2,1,20.6
4,4,aug,sun,91.5,91.6,536.5,13.9,26.9,34,4.0,0.0,0.0,1,1,15.4
1,2,aug,sun,91.5,91.6,536.5,13.9,26.9,34,4.0,0.0,0.0,1,1,15.1
2,2,aug,sun,91.5,91.6,536.5,13.9,26.9,34,4.0,0.0,0.0,1,1,14.9
